,ACELGA-H,AJO-H,ALCACHOFA-H,APIO-H,BERENJENA-H,CALABACIN-H,CALABAZA-H,CEBOLLA-H,COLES-H,ENDIVIA_Y_ESCAROLA-H,ESPARRAGO-H,ESPINACA-H,GUISANTE-H,JUDIA-H,LECHUGA-H,MAIZ_DULCE-H,PATATA-H,PEPINO-H,PIMIENTO-H,PUERRO-H,TOMATE-H,ZANAHORIA_Y_NABO-H,OTRAS_HORTALIZAS-H,T_HORTALIZAS-H,AGUACATE-F,ALBARICOQUE-F,ARANDANO-F,CAQUI-F,CEREZA_Y_GUINDA-F,CIRUELA-FC,FRAMBUESA-F,FRESA-F,GROSELLA-F,HIGO-F,KIWI-F,LIMON-FC,MANDARINA-FC,MANGO_GUAYABA-F,MANZANA-F,MELOCOTON-F,MELON-F,MORA-FC,NARANJA-FC,NECTARINA-F,OTROS_CITRICOS-FC,PERA-F,PINYA-FC,PLATANO-F,POMELO-F,SANDIA-F,UVA_DE_MESA-F,OTRAS_FRUTAS-F,TOTAL_FRUTAS-F,TOTAL_F_Y_H,YEAR,MONTH,MONTH_N
Noviembre,4.0,245.0,8.0,38.0,42.0,1064.0,416.0,6881.0,2541.0,160.0,1314.0,50.0,60.0,24886.0,926.0,56.0,72981.0,990.0,4866.0,3488.0,14525.0,1039.0,3764.0,140344.0,7014.0,57.0,1202.0,227.0,110.0,383.0,1844.0,572.0,110.0,83.0,16624.0,1591.0,1254.0,4291.0,20107.0,1675.0,11571.0,126.0,5813.0,371.0,8.0,3024.0,16258.0,33374.0,703.0,966.0,6272.0,12379.0,148009.0,288353.0,2018,Noviembre,11
Diciembre,11.0,119.0,7.0,262.0,52.0,3335.0,272.0,7089.0,2038.0,313.0,1411.0,23.0,101.0,12475.0,1136.0,414.0,92488.0,2106.0,5950.0,3639.0,12302.0,1626.0,8662.0,155831.0,5970.0,25.0,755.0,636.0,560.0,90.0,2314.0,1794.0,80.0,49.0,16517.0,1591.0,1631.0,4584.0,19354.0,92.0,11475.0,96.0,1904.0,89.0,0.0,3412.0,22908.0,30665.0,636.0,477.0,8006.0,8957.0,144667.0,300498.0,2018,Diciembre,12
Total,151.0,2917.0,538.0,532.0,508.0,18716.0,11464.0,87371.0,23047.0,4196.0,13990.0,959.0,1425.0,143766.0,18649.0,6988.0,817596.0,7689.0,57432.0,22503.0,157202.0,20154.0,41413.0,1459206.0,129387.0,1113.0,17827.0,1385.0,1175.0,8065.0,23398.0,15061.0,541.0,413.0,182492.0,96852.0,28517.0,53487.0,167076.0,9628.0,86115.0,1132.0,175168.0,4773.0,1033.0,43369.0,178816.0,365322.0,10254.0,94578.0,60558.0,90213.0,1847748.0,3306954.0,2018,Total,-1
Enero,10.0,298.0,10.0,23.0,60.0,5039.0,433.0,8748.0,2869.0,245.0,1242.0,45.0,145.0,7834.0,1062.0,18.0,103868.0,1412.0,7954.0,3188.0,12467.0,1283.0,5416.0,163669.0,7181.0,1.0,889.0,35.0,349.0,786.0,4163.0,2662.0,75.0,30.0,8842.0,1513.0,1108.0,5891.0,14229.0,156.0,10064.0,72.0,2244.0,86.0,0.0,3862.0,12467.0,32678.0,142.0,457.0,6245.0,7367.0,123594.0,287263.0,2019,Enero,1
Febrero,12.0,304.0,10.0,48.0,329.0,4595.0,1529.0,6997.0,2506.0,699.0,1460.0,56.0,188.0,6308.0,786.0,20.0,93482.0,2643.0,10095.0,2179.0,12643.0,622.0,5624.0,153135.0,5756.0,0.0,860.0,12.0,81.0,749.0,4063.0,4528.0,107.0,2.0,9470.0,775.0,1507.0,5822.0,18807.0,61.0,9281.0,69.0,1405.0,253.0,5.0,5778.0,13135.0,32817.0,151.0,1687.0,5020.0,7093.0,129294.0,282429.0,2019,Febrero,2
Marzo,5.0,454.0,10.0,36.0,82.0,1810.0,2243.0,10496.0,1771.0,829.0,1154.0,38.0,134.0,9593.0,804.0,628.0,117398.0,379.0,6727.0,2231.0,11660.0,3926.0,4179.0,176587.0,7640.0,2.0,3201.0,7.0,17.0,1984.0,3659.0,4343.0,66.0,1.0,10705.0,1134.0,1818.0,6241.0,18358.0,59.0,11557.0,81.0,1962.0,421.0,3.0,9358.0,12273.0,32300.0,56.0,6800.0,6727.0,8092.0,148865.0,325452.0,2019,Marzo,3
Abril,1.0,136.0,8.0,132.0,61.0,408.0,3205.0,15310.0,1531.0,619.0,552.0,83.0,127.0,10851.0,1084.0,822.0,93785.0,62.0,6743.0,1740.0,8895.0,1448.0,3663.0,151266.0,10355.0,0.0,6658.0,13.0,22.0,1592.0,3053.0,1799.0,79.0,1.0,9337.0,1494.0,529.0,6784.0,18154.0,370.0,12604.0,235.0,1368.0,172.0,0.0,7295.0,14105.0,29756.0,67.0,20673.0,6405.0,9514.0,162434.0,313700.0,2019,Abril,4
Mayo,11.0,321.0,8.0,17.0,26.0,83.0,5035.0,4993.0,1444.0,330.0,173.0,81.0,649.0,7946.0,1303.0,1663.0,67208.0,54.0,6264.0,1112.0,9839.0,1432.0,2575.0,112567.0,16496.0,113.0,4098.0,98.0,14.0,276.0,2267.0,374.0,73.0,1.0,17908.0,2016.0,2664.0,7456.0,23968.0,977.0,5132.0,167.0,1479.0,319.0,0.0,5860.0,16082.0,30640.0,693.0,24954.0,6571.0,9510.0,180206.0,292773.0,2019,Mayo,5
Junio,16.0,170.0,6.0,50.0,44.0,105.0,1773.0,1239.0,1390.0,322.0,1073.0,180.0,74.0,6016.0,1414.0,21.0,23733.0,28.0,4995.0,506.0,19804.0,717.0,2110.0,65786.0,12834.0,60.0,521.0,36.0,112.0,166.0,900.0,529.0,17.0,3.0,12088.0,1965.0,1555.0,3929.0,14703.0,260.0,1460.0,32.0,1042.0,627.0,17.0,2821.0,15034.0,23441.0,1619.0,16744.0,3142.0,7808.0,123465.0,189251.0,2019,Junio,6
Julio,4.0,190.0,42.0,95.0,57.0,166.0,499.0,787.0,950.0,282.0,1383.0,70.0,61.0,5216.0,2738.0,265.0,27134.0,121.0,3045.0,977.0,18266.0,1957.0,2195.0,66500.0,15419.0,200.0,345.0,,610.0,78.0,390.0,615.0,158.0,4.0,12912.0,13068.0,664.0,3900.0,14838.0,656.0,739.0,44.0,7843.0,783.0,20.0,2305.0,13388.0,25207.0,2036.0,6087.0,1471.0,6643.0,130423.0,196923.0,2019,Julio,7
