,ACELGA-H,AJO-H,ALCACHOFA-H,APIO-H,BERENJENA-H,CALABACIN-H,CALABAZA-H,CEBOLLA-H,COLES-H,ENDIVIA_Y_ESCAROLA-H,ESPARRAGO-H,ESPINACA-H,GUISANTE-H,JUDIA-H,LECHUGA-H,MAIZ_DULCE-H,PATATA-H,PEPINO-H,PIMIENTO-H,PUERRO-H,TOMATE-H,ZANAHORIA_Y_NABO-H,OTRAS_HORTALIZAS-H,T_HORTALIZAS-H,AGUACATE-F,ALBARICOQUE-F,ARANDANO-F,CAQUI-F,CEREZA_Y_GUINDA-F,CIRUELA-FC,FRAMBUESA-F,FRESA-F,GROSELLA-F,HIGO-F,KIWI-F,LIMON-FC,MANDARINA-FC,MANGO_GUAYABA-F,MANZANA-F,MELOCOTON-F,MELON-F,MORA-FC,NARANJA-FC,NECTARINA-F,OTROS_CITRICOS-FC,PERA-F,PINYA-FC,PLATANO-F,POMELO-F,SANDIA-F,UVA_DE_MESA-F,OTRAS_FRUTAS-F,TOTAL_FRUTAS-F,TOTAL_F_Y_H,YEAR,MONTH,MONTH_N
Noviembre,1866.0,438855.0,8879.0,25427.0,42499.0,1129691.0,304062.0,2842693.0,1534786.0,179535.0,5347409.0,65462.0,63315.0,24526444.0,1387704.0,43176.0,27355942.0,615888.0,4951460.0,3238120.0,13293771.0,363818.0,4963413.0,92724215.0,12511592.0,4360.0,9500167.0,153750.0,649829.0,313063.0,10809652.0,2108502.0,882600.0,154299.0,13662566.0,1847659.0,982714.0,6638893.0,12350489.0,343542.0,7767520.0,956700.0,4916662.0,16538.0,9294.0,2073066.0,11320199.0,16707273.0,348592.0,551023.0,9305393.0,12673711.0,139559648.0,232283863.0,2018,Noviembre,11
Diciembre,7522.0,267930.0,5301.0,51897.0,56597.0,2170568.0,194691.0,3347806.0,1200671.0,285151.0,6022679.0,60106.0,76577.0,20326440.0,2052291.0,89703.0,38557702.0,1147093.0,7191084.0,3429550.0,11678768.0,490597.0,6804742.0,105515466.0,11141172.0,62178.0,5474780.0,582007.0,3008425.0,131728.0,15990203.0,7601865.0,614622.0,223584.0,8828060.0,1836582.0,1097327.0,8627887.0,11525030.0,260074.0,7415522.0,700116.0,1083269.0,72694.0,2477.0,2254155.0,15726897.0,15041714.0,501529.0,289432.0,13550462.0,11223991.0,144867782.0,250383248.0,2018,Diciembre,12
Total,122320.0,4840826.0,761307.0,201264.0,455050.0,12028867.0,5674263.0,32003696.0,12481893.0,3897144.0,51598316.0,1448900.0,829987.0,174791272.0,27419318.0,2751672.0,209397552.0,5088267.0,60038870.0,18421320.0,123491978.0,7391217.0,51305663.0,806440962.0,237296904.0,515293.0,105644911.0,1289568.0,5768026.0,12050582.0,162831337.0,38133992.0,3338542.0,816571.0,192377880.0,122955432.0,25765633.0,85277083.0,146983298.0,4052059.0,59161554.0,7938133.0,118916902.0,3277509.0,667263.0,38532720.0,122268620.0,190215969.0,7944537.0,54367816.0,84321809.0,117986193.0,1950696136.0,2757137098.0,2018,Total,-1
Enero,11673.0,515776.0,6156.0,45493.0,83543.0,4669101.0,367728.0,3917603.0,1957624.0,262780.0,5571047.0,74589.0,164315.0,14035037.0,1778909.0,19222.0,35812665.0,1131567.0,7742389.0,3506190.0,12072504.0,352446.0,5234711.0,99333068.0,14030717.0,820.0,5764908.0,34663.0,800374.0,1159595.0,29868843.0,8678122.0,421194.0,65667.0,13504981.0,1285260.0,819366.0,9673784.0,10680636.0,143849.0,7894503.0,555746.0,1098099.0,147184.0,1454.0,2550655.0,8662752.0,17581266.0,85062.0,217811.0,11974404.0,10358568.0,158060283.0,257393351.0,2019,Enero,1
Febrero,28202.0,480305.0,3890.0,27534.0,236938.0,2972128.0,636915.0,3651303.0,1523862.0,450697.0,5679013.0,64435.0,263491.0,14987526.0,1268438.0,119594.0,32081744.0,2082364.0,9656794.0,2223668.0,11399012.0,360161.0,4825125.0,95023139.0,12072015.0,5613.0,5965390.0,8489.0,270466.0,1062095.0,27503580.0,10651584.0,459726.0,8887.0,12095500.0,820192.0,1293756.0,9251015.0,13252615.0,118875.0,6308508.0,613055.0,721163.0,534217.0,15753.0,4974018.0,9163432.0,17919576.0,99389.0,934753.0,9284416.0,9368878.0,154776956.0,249800095.0,2019,Febrero,2
Marzo,3192.0,1017086.0,9870.0,24213.0,79626.0,1055875.0,1028903.0,6150621.0,1020897.0,488880.0,3687624.0,59034.0,196617.0,19755290.0,1081222.0,136813.0,44894470.0,256413.0,7220789.0,2027720.0,10441556.0,865625.0,5251348.0,106753684.0,15635421.0,8553.0,22120052.0,20045.0,56875.0,3341380.0,24170593.0,9456342.0,299706.0,3605.0,14471986.0,1112355.0,1798982.0,11508820.0,13467014.0,68162.0,7622868.0,725800.0,946007.0,858900.0,4647.0,8614406.0,8690979.0,17671208.0,47599.0,3890755.0,11865852.0,11255471.0,189734383.0,296488067.0,2019,Marzo,3
Abril,2270.0,232067.0,7143.0,154900.0,63713.0,263604.0,1519647.0,9834958.0,1063491.0,495880.0,1221556.0,74687.0,203045.0,17414204.0,2068549.0,335677.0,39765579.0,56573.0,6600786.0,1395092.0,9652865.0,627235.0,5045762.0,98099283.0,20945067.0,1036.0,32043652.0,13410.0,28234.0,2205886.0,20255773.0,3310152.0,406284.0,3323.0,11232727.0,1784714.0,575137.0,12146124.0,13229657.0,341699.0,8618135.0,1821476.0,830153.0,277769.0,6475.0,4734119.0,10160325.0,15756911.0,51532.0,13837729.0,11218522.0,12621456.0,198457477.0,296556760.0,2019,Abril,4
Mayo,6718.0,404429.0,5876.0,14653.0,38898.0,71316.0,2002637.0,2574409.0,994794.0,371180.0,531529.0,88616.0,281676.0,9800606.0,1840072.0,1254778.0,25875503.0,31815.0,5957719.0,1264929.0,7758387.0,372850.0,4642759.0,66186149.0,30255984.0,146316.0,16840643.0,110547.0,29994.0,407802.0,13581063.0,609614.0,268466.0,6529.0,27646137.0,2284583.0,1738288.0,9273205.0,16302539.0,545044.0,5613881.0,819770.0,807579.0,439106.0,4877.0,3542805.0,11438809.0,16660911.0,740838.0,13235300.0,12821458.0,11565567.0,197737655.0,263923804.0,2019,Mayo,5
Junio,10402.0,247892.0,13710.0,88223.0,51038.0,94366.0,1003254.0,725710.0,1042143.0,293907.0,3488374.0,172738.0,118972.0,9608552.0,1468970.0,82096.0,9859482.0,23365.0,4726903.0,581825.0,14285688.0,253858.0,3906254.0,52147722.0,23972582.0,43084.0,2634843.0,61564.0,259541.0,104664.0,4690362.0,1086532.0,120210.0,6233.0,18393689.0,2106051.0,2540105.0,6737773.0,11131058.0,225437.0,902442.0,81719.0,734047.0,377443.0,131132.0,1757172.0,10569626.0,12642220.0,1572683.0,6019989.0,5871022.0,8621024.0,123394247.0,175541969.0,2019,Junio,6
Julio,5175.0,228693.0,65178.0,92930.0,58751.0,123611.0,244765.0,634123.0,870529.0,245800.0,5295519.0,111218.0,60479.0,8213056.0,3015812.0,193820.0,8144434.0,85282.0,3022333.0,1068727.0,16120896.0,494558.0,3365913.0,51761602.0,34334168.0,51751.0,1480354.0,,1529998.0,33105.0,1099297.0,1276848.0,899263.0,41027.0,15623321.0,12424941.0,595531.0,6671675.0,10807281.0,189589.0,385972.0,120974.0,4625271.0,67870.0,30769.0,1323532.0,9437874.0,13456543.0,1784801.0,2208295.0,2736858.0,9066997.0,132303905.0,184065507.0,2019,Julio,7
