,ACELGA-H,AJO-H,ALCACHOFA-H,APIO-H,BERENJENA-H,CALABACIN-H,CALABAZA-H,CEBOLLA-H,COLES-H,ENDIVIA_Y_ESCAROLA-H,ESPARRAGO-H,ESPINACA-H,GUISANTE-H,JUDIA-H,LECHUGA-H,MAIZ_DULCE-H,PATATA-H,PEPINO-H,PIMIENTO-H,PUERRO-H,TOMATE-H,ZANAHORIA_Y_NABO-H,OTRAS_HORTALIZAS-H,T_HORTALIZAS-H,AGUACATE-F,ALBARICOQUE-F,ARANDANO-F,CAQUI-F,CEREZA_Y_GUINDA-F,CIRUELA-FC,FRAMBUESA-F,FRESA-F,GROSELLA-F,HIGO-F,KIWI-F,LIMON-FC,MANDARINA-FC,MANGO_GUAYABA-F,MANZANA-F,MELOCOTON-F,MELON-F,MORA-FC,NARANJA-FC,NECTARINA-F,OTROS_CITRICOS-FC,PERA-F,PINYA-FC,PLATANO-F,POMELO-F,SANDIA-F,UVA_DE_MESA-F,OTRAS_FRUTAS-F,TOTAL_FRUTAS-F,TOTAL_F_Y_H,YEAR,MONTH,MONTH_N
Diciembre,704664,17661781,1437084,10979884,26529373,30943630,12240997,12575410,60598986,7664224,1715742,8042402,294839,4144806,87872006,601162,9130722,83621149,129268188,1260126,127461235,4235110,25087748,664071268,26620350,461933,1022453,49595316,1156429,185735,33956050,5633498,909487,294130,1696419,70825628,245512036,6256788,7843836,605872,2322697,748188,135138281,310838,905888,5978242,4609885,3555495,5001571,2841573,25731737,13046615,652766970,1316838238,2018,Diciembre,12
Total,5768083,234815675,13762679,80786349,147799427,311191380,37176856,147531750,470882762,54654068,69384168,54280299,5551831,44368017,690417452,26262408,129028250,594932580,977282567,20993937,927160937,64959907,181333378,5290324760,292997071,143017906,324384806,172934116,67492561,86529006,382880948,587177819,11360773,6631370,25234558,704785740,1238404227,91822886,88040500,381855084,305567951,26715402,1097145285,408130104,10033135,74238749,33920075,66244227,42211763,428624835,337044445,107226235,7542651577,12832976337,2018,Total,-1
Enero,862090,20363363,2644203,12668053,27204888,48707150,3554503,16407789,81760337,9333088,1918345,9662245,359308,3873398,109177131,857879,10974546,100530301,154246614,1950963,136080758,5644183,22693501,781474636,31886054,140212,1433383,24552630,193856,238654,36291621,37995972,984926,30511,2261633,59245434,194140892,5765497,7022259,664089,1358527,821262,138213001,214588,941396,6074587,2511283,5316560,6212363,1807220,6721987,7225795,580266192,1361740828,2019,Enero,1
Febrero,804608,20208591,3582974,8088026,18044788,38726242,3088776,13481054,71534410,9412447,2241204,9540431,614086,4421543,98037309,591545,8384946,82619530,144923178,1580906,134926195,5266712,27994902,708114403,29106272,11448,5604142,4870131,71357,293595,44963360,98158575,1753781,21243,1846983,53865792,149057051,5603516,6309025,373353,1277018,1103210,130584397,287555,993653,4602166,2222412,5559781,6443303,1165815,3830476,3958704,563938114,1272052517,2019,Febrero,2
Marzo,780270,21690263,3727767,9179513,15422018,38326049,2767852,12859960,74369149,8755500,9839137,10467117,829270,5266710,93136848,1303925,8474605,58071297,167804871,1236441,126173955,6619896,27584534,704686947,51222246,24320,36039495,785926,46548,463157,73825168,166578396,651025,14412,1561646,60039472,110658304,6389403,5817016,477384,2258256,1648148,148410198,659921,1042722,4625718,2410486,6185026,9841626,1773367,2806633,5748559,702004578,1406691525,2019,Marzo,3
Abril,596736,18874797,2291339,8471515,12385568,42544348,2066033,14390929,74635434,8579104,23365924,7734892,1499634,4228927,99904158,2666223,9404304,26095081,104700100,1728425,89118125,9973877,25132564,590388037,38129881,2043033,91072480,182353,464034,445258,59922323,169924790,1481053,2994,1481486,65535219,79317738,5913448,6526909,7168812,6167913,3520893,132491533,9430983,1111166,4786735,2765209,5446963,7641472,24931739,3513444,8257021,739676882,1330064919,2019,Abril,4
Mayo,366846,18272228,1445753,8406365,10234103,27236896,1473515,21274270,59862163,4315783,17150781,2180050,972962,5474134,42411717,1507899,28180807,17510524,68993415,4996231,66310138,15936962,24376305,448889847,25979000,40212384,116257159,102273,21340544,2200384,70565588,82738826,3527863,202944,2144121,75048884,42232959,3976545,6946028,53421537,46370480,16641662,110723210,68504226,1253283,3901004,2678338,6001462,6804329,79287167,2444159,21982106,913488465,1362378312,2019,Mayo,5
Junio,226555,30003244,664589,3649670,6029089,14910107,868691,25482141,19679585,1772464,7414933,774171,211203,4254397,16330990,8860947,34777495,16412085,52632867,4944157,23664424,8035795,15988922,297588521,19391725,39020545,57450520,96118,45889716,13467881,28694271,18687554,1487216,1499306,1994536,70911499,8466691,3194855,3966086,78483182,84021296,3777698,73745222,81092036,958246,2128011,2888264,5000392,1485304,124493586,4892762,9164978,786349496,1083938017,2019,Junio,6
Julio,171243,43083250,21371,1452612,3939754,4214139,758234,24050347,6863174,1790999,3223712,783731,45890,2782048,18091985,6378557,11127590,11051290,40418474,1609184,25517683,2158584,12968486,222502337,20781346,19626032,12846289,13760,15618954,21646055,4587945,2963467,1101831,1396860,2215362,57646733,3285719,2260031,3517181,81259772,96720726,885536,43619110,88841183,994829,5695770,2223301,4749802,792432,100173859,33861430,4884313,634209628,856711965,2019,Julio,7
Agosto,202933,31130573,10050,1130399,5776773,7188222,829273,16743446,3990114,1655505,904510,829916,42477,3233421,16117823,2507938,10916495,18201916,34786997,298927,44207098,1746461,9713143,212164410,27820371,9298969,1155809,29127,1137943,19170212,1532662,3397537,303656,1945022,3115810,35595368,829694,5031157,5882035,77126944,49374627,423022,18861341,69192225,729475,14162064,2483416,4670454,834478,57690244,61208538,4628942,477631142,689795552,2019,Agosto,8
