,ACELGA-H,AJO-H,ALCACHOFA-H,APIO-H,BERENJENA-H,CALABACIN-H,CALABAZA-H,CEBOLLA-H,COLES-H,ENDIVIA_Y_ESCAROLA-H,ESPARRAGO-H,ESPINACA-H,GUISANTE-H,JUDIA-H,LECHUGA-H,MAIZ_DULCE-H,PATATA-H,PEPINO-H,PIMIENTO-H,PUERRO-H,TOMATE-H,ZANAHORIA_Y_NABO-H,OTRAS_HORTALIZAS-H,T_HORTALIZAS-H,AGUACATE-F,ALBARICOQUE-F,ARANDANO-F,CAQUI-F,CEREZA_Y_GUINDA-F,CIRUELA-FC,FRAMBUESA-F,FRESA-F,GROSELLA-F,HIGO-F,KIWI-F,LIMON-FC,MANDARINA-FC,MANGO_GUAYABA-F,MANZANA-F,MELOCOTON-F,MELON-F,MORA-FC,NARANJA-FC,NECTARINA-F,OTROS_CITRICOS-FC,PERA-F,PINYA-FC,PLATANO-F,POMELO-F,SANDIA-F,UVA_DE_MESA-F,OTRAS_FRUTAS-F,TOTAL_FRUTAS-F,TOTAL_F_Y_H,YEAR,MONTH,MONTH_N
Noviembre,415.0,11743.0,108.0,7097.0,16799.0,38049.0,3838.0,41784.0,32184.0,4781.0,451.0,3282.0,19.0,1769.0,86121.0,3079.0,26685.0,89479.0,73475.0,1474.0,59657.0,5106.0,9423.0,516818.0,8041.0,506.0,839.0,56014.0,14.0,1454.0,3268.0,678.0,52.0,397.0,2145.0,51883.0,287347.0,6549.0,14440.0,5662.0,2895.0,639.0,146120.0,2932.0,503.0,11260.0,3271.0,9999.0,5002.0,1264.0,27370.0,14853.0,665397.0,1182215.0,2018,Noviembre,11
Diciembre,549.0,11168.0,765.0,13347.0,20965.0,33214.0,13047.0,27894.0,60578.0,8711.0,607.0,5765.0,296.0,1699.0,103382.0,581.0,15066.0,108503.0,98481.0,1090.0,108899.0,6947.0,19501.0,661055.0,10655.0,571.0,270.0,49848.0,149.0,167.0,4271.0,1443.0,163.0,92.0,1528.0,69337.0,360834.0,3135.0,9351.0,1708.0,3279.0,123.0,226869.0,397.0,590.0,7464.0,5352.0,9133.0,5543.0,3598.0,13770.0,11578.0,801218.0,1462273.0,2018,Diciembre,12
Total,5087.0,151731.0,12517.0,96542.0,155057.0,361908.0,45246.0,353036.0,485730.0,57994.0,24759.0,35795.0,4495.0,21927.0,795195.0,24258.0,280875.0,648521.0,745903.0,21749.0,812571.0,100028.0,131019.0,5371943.0,107622.0,108956.0,57802.0,168341.0,34070.0,71565.0,50414.0,278664.0,2322.0,3435.0,20288.0,599602.0,1368736.0,68415.0,111993.0,382378.0,405303.0,4277.0,1527781.0,357471.0,5720.0,93708.0,39060.0,104305.0,47430.0,861952.0,170658.0,86773.0,7139041.0,12510984.0,2018,Total,-1
Enero,659.0,14163.0,2076.0,15386.0,15644.0,35700.0,4192.0,33133.0,75974.0,9858.0,630.0,6027.0,169.0,1422.0,102675.0,1450.0,17888.0,116323.0,114334.0,1527.0,112093.0,8155.0,12498.0,701976.0,12064.0,194.0,265.0,24578.0,25.0,205.0,4212.0,11264.0,237.0,69.0,2036.0,62994.0,258043.0,2802.0,8956.0,1311.0,1661.0,126.0,232098.0,142.0,636.0,8771.0,3108.0,8177.0,7501.0,1537.0,4190.0,6536.0,663738.0,1365714.0,2019,Enero,1
Febrero,848.0,12868.0,2777.0,9955.0,16167.0,40765.0,4280.0,27537.0,69069.0,10842.0,781.0,6337.0,376.0,1054.0,100465.0,360.0,12280.0,86688.0,100042.0,1054.0,118353.0,7606.0,18481.0,648985.0,10790.0,3.0,587.0,4869.0,9.0,158.0,6376.0,35436.0,429.0,35.0,1725.0,60063.0,160493.0,2703.0,8229.0,782.0,1430.0,130.0,219485.0,205.0,683.0,6990.0,2601.0,7525.0,7775.0,1245.0,2091.0,2918.0,545765.0,1194750.0,2019,Febrero,2
Marzo,525.0,13726.0,3252.0,10443.0,19746.0,53567.0,4132.0,24937.0,73570.0,11225.0,2693.0,6907.0,427.0,1844.0,112462.0,815.0,11664.0,65234.0,119978.0,979.0,118675.0,9544.0,18344.0,684689.0,18232.0,7.0,5660.0,812.0,5.0,256.0,16807.0,79676.0,250.0,11.0,1731.0,70947.0,111993.0,2824.0,8446.0,1210.0,2251.0,213.0,236641.0,404.0,789.0,6786.0,2562.0,8777.0,12612.0,2035.0,1391.0,3331.0,596659.0,1281348.0,2019,Marzo,3
Abril,338.0,11709.0,2210.0,9364.0,17024.0,58655.0,3061.0,25705.0,66839.0,10865.0,7394.0,5264.0,830.0,1933.0,113940.0,1706.0,13635.0,33324.0,74956.0,1936.0,78603.0,15504.0,18417.0,573212.0,13345.0,853.0,17715.0,92.0,193.0,256.0,7904.0,95168.0,225.0,1.0,1693.0,75680.0,77452.0,2796.0,10140.0,3970.0,5982.0,520.0,212221.0,4710.0,789.0,7214.0,2768.0,7985.0,9910.0,40400.0,1897.0,5099.0,606978.0,1180190.0,2019,Abril,4
Mayo,231.0,10580.0,1226.0,9277.0,12796.0,43868.0,1851.0,31401.0,57724.0,4443.0,6865.0,1460.0,541.0,2695.0,50981.0,1876.0,43977.0,30169.0,44596.0,6328.0,54720.0,28545.0,20899.0,467049.0,11842.0,29361.0,27406.0,45.0,5764.0,1529.0,11503.0,49025.0,719.0,63.0,1783.0,77454.0,40427.0,2587.0,9312.0,39026.0,55878.0,2648.0,178741.0,50683.0,908.0,5648.0,2860.0,9065.0,6411.0,167006.0,1137.0,13111.0,801942.0,1268991.0,2019,Mayo,5
Junio,111.0,18122.0,455.0,3785.0,6808.0,19551.0,989.0,36498.0,20722.0,1159.0,3090.0,468.0,245.0,1997.0,15339.0,16433.0,55587.0,23372.0,31121.0,6069.0,17777.0,15492.0,14696.0,309886.0,7546.0,33211.0,10520.0,65.0,14041.0,11128.0,4939.0,13000.0,330.0,451.0,1178.0,71383.0,10715.0,2864.0,5836.0,73323.0,105345.0,541.0,116852.0,68036.0,697.0,3085.0,3821.0,7576.0,1801.0,277338.0,1984.0,5413.0,853019.0,1162905.0,2019,Junio,6
Julio,84.0,26789.0,21.0,1741.0,3570.0,6782.0,1094.0,47544.0,6173.0,1198.0,1240.0,458.0,37.0,1676.0,15792.0,9070.0,19164.0,10159.0,25226.0,2294.0,16464.0,4929.0,9541.0,211046.0,5897.0,15911.0,2583.0,8.0,5545.0,22663.0,760.0,2120.0,192.0,671.0,1329.0,57060.0,3656.0,1347.0,4980.0,89717.0,145196.0,132.0,71407.0,115931.0,711.0,5749.0,2363.0,7664.0,480.0,219210.0,17493.0,4099.0,804874.0,1015920.0,2019,Julio,7
